slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
SR1482_40X_HE_T122_01.czi,1,processed,6,118,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T123_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T124_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T124_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T125_01.czi,1,processed,6,128,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T125_02.czi,1,processed,6,132,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T126_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T128_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T128_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T129_01.czi,1,processed,6,128,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T129_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T130_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T131_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T131_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T132_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T132_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T133_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T133_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T134_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T135_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T136_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T136_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T137_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T137_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T138_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
